"81, 89, 85, 7","0.80, 0.80, 0.80, 0.90","Dev81, Dev89, Dev85, Dev7","Junior, Master, Master, Middle","3.30","0.33","1.0890000000000002"
"27, 55, 29, 62","0.70, 0.70, 0.80, 0.60","Dev27, Dev55, Dev29, Dev62","Senior, Junior, Senior, Master","0","0","0"
"82, 97, 94, 16","0.70, 0.70, 0.60, 0.60","Dev82, Dev97, Dev94, Dev16","Junior, Middle, Senior, Middle","0","0","0"
